founder	side	K_f	max_jacc_other	mean_jacc_to_cactus	mean_jacc_to_PG	nn_founder	nn_side	h_filt2	h_hf	err	accession_name
6945	cactus	2265437	0.6599350927278262	0.5815837528249874	0.6079824112162758	7008	PG	0.0057648292824962295	0.003595	0.0021698292824962294	Nok-3
6958	cactus	2231056	0.6527708988069458	0.58955927950508	0.6168836641749346	159	cactus	0.009902729084161477	0.005909	0.003993729084161477	Ra-0
6963	cactus	2269341	0.7883949817203872	0.580520321410546	0.5925964277812105	6929	cactus	0.005705096107400239	0.004391	0.0013140961074002387	Sorbo
6979	cactus	2239606	0.6539423492321985	0.579573771770377	0.6081372665109718	9814	PG	0.003966917802188173	0.00393	3.6917802188172685e-05	Wei-0
7000	cactus	2286557	0.6615667576227889	0.5845267048167038	0.6148685384427404	7036	PG	0.009711605834392633	0.00431	0.005401605834392633	Aa-0
7002	cactus	2246467	0.6443988327283927	0.5879940266076228	0.6111843067395941	7282	PG	0.007399619126884077	0.005695	0.0017046191268840763	Baa-1
7003	cactus	2274317	0.6907287184967128	0.5868298367439821	0.6170779283996974	5772	cactus	0.008862769457971252	0.00362	0.0052427694579712525	Bs-1
7025	cactus	2242606	0.6989800278937248	0.5874582518003315	0.6171719169536721	8311	PG	0.00830026638188528	0.0044	0.003900266381885279	Bl-1
7063	cactus	2192375	0.6574971829581809	0.5693030123723378	0.5912531179292667	9596	PG	0.0015968790734658023	0.001992	-0.00039512092653419756	Can-0
7092	cactus	2243782	0.669284102163138	0.5871143269150128	0.6133221617355521	9941	PG	0.005778129036260898	0.003557	0.002221129036260898	Com-1
7127	cactus	2248575	0.8254742360488377	0.582642448902639	0.6075405869397248	6180	PG	0.005204455675755371	0.004246	0.0009584556757553713	Est
7143	cactus	2266896	0.6591845469615613	0.5846924913810324	0.6070800708217995	6898	cactus	0.010660005263663137	0.004785	0.0058750052636631364	Gel-1
7164	cactus	2085750	0.6956954518049273	0.5310672536389329	0.542576568119971	9764	cactus	0.0008245679696009102	0.002083	-0.00125843203039909	Hau-0
7186	cactus	2228563	0.6536596572667921	0.5850709277118992	0.6064345841132809	7127	cactus	0.011004758574092737	0.008514	0.002490758574092736	Kn-0
7217	cactus	2249479	0.668238652159379	0.586096521289269	0.6124843669690919	6108	PG	0.00756490096579838	0.003365	0.00419990096579838	Lm-2
7255	cactus	2266258	0.6560877345414675	0.5855376096457175	0.6145755791304612	7276	PG	0.006993629952187987	0.005234	0.0017596299521879868	Mh-0
7288	cactus	2268363	0.651273951840291	0.5867122444906383	0.6144003151724129	7013	PG	0.007974811009045938	0.00335	0.004624811009045937	Oy-0
7298	cactus	2287954	0.7886376827454666	0.5819076372112894	0.6115118306300392	7067	PG	0.006214161284155934	0.003153	0.003061161284155934	Pi-0
7316	cactus	2270431	0.6711973413533523	0.5880906395146103	0.6163939377790263	7008	PG	0.006811704445367911	0.003227	0.003584704445367911	Rhen-1
7323	cactus	2220777	0.7229817993162645	0.5875211067333114	0.6044047704881376	9612	PG	0.004793996617778337	0.005016	-0.00022200338222166244	Rubezhnoe-1
7346	cactus	2237901	0.6857308501707269	0.5909371660505338	0.6173709141505909	7013	PG	0.0035794028101574556	0.002845	0.0007344028101574558	Sten-0
7347	cactus	2267850	0.778968822599223	0.5818582309351022	0.6038394332234803	7067	PG	0.0027704023650867307	0.003455	-0.0006845976349132694	Stw-0
