founder	side	K_f	K_priv_f	cov_pg_shortread	cov_cactus_loo_shortread	cov_cactus_ont_text
9921	PG	2235926	10567	19.272976296296296		
9925	PG	2173868	1139	20.78494074074074		
9933	PG	2268994	23789	28.090687407407408		
9941	PG	1994240	2262	7.221549274074074		
9944	PG	2119356	30267	23.19706297777778		
9965	PG	2150281	4708	25.499490155555556		
9966	PG	2059833	2262	7.850671318518518		
9977	PG	1676273	2129	6.3904736		
9978	PG	2076774	5695	11.45706911111111		
9985	PG	1887640	2434	7.0875478888888885		
5772	cactus	2244710	1831		40.72393925925926	
9947	cactus	2184615	54346		10.443380644444444	10.0
