label	n	MAE	RMSE	R2	slope	intercept	sample	h_sum
SNP	2358395	0.023394864052534103	0.03859065845608711	0.9715704797987615	0.9827484179902636	-0.0009072369032827584	MLFH040320190221	1.0000079870224
INS	66356	0.01389946136623621	0.02635979652404785	0.8911642609089745	0.9249083277105911	-0.00018654195990074486	MLFH040320190221	1.0000079870224
DEL	34928	0.017130911350250244	0.030612941831350327	0.9613719347179905	0.9731087936635539	-0.0009241504874717353	MLFH040320190221	1.0000079870224
SV_all	101284	0.015013833530247211	0.027899840846657753	0.9394564737823243	0.9582762819650928	-0.0009111640972137585	MLFH040320190221	1.0000079870224
SV_med_50-500bp	46670	0.01730651780962944	0.03138095140457153	0.9457216717482023	0.9630525828823324	-0.0007007611246014217	MLFH040320190221	1.0000079870224
SV_big_500-5kb	43892	0.013178117573261261	0.024737179279327393	0.9285404028003882	0.9487680068947877	-0.0008888878582277963	MLFH040320190221	1.0000079870224
SV_huge_>=5kb	10722	0.012549157254397869	0.02369891107082367	0.8910274227903694	0.9343988398423777	-0.00108047652388604	MLFH040320190221	1.0000079870224
all_poly	2141050	0.03190413489937782	0.05876920744776726	0.9558368183316469	0.9703430622407262	-0.0001449958235931768	MLFH040320200206	0.9999979734420776
SNP	2058471	0.032313160598278046	0.059181321412324905	0.9560624278063838	0.9703961746619661	-9.027548186759381e-05	MLFH040320200206	0.9999979734420776
INS	53616	0.02009490691125393	0.04559899494051933	0.8924673971929618	0.945842435697865	-0.0008800012416533931	MLFH040320200206	0.9999979734420776
DEL	28963	0.02469594217836857	0.050433382391929626	0.9426123232062571	0.9698566972170397	-0.0006147882059408197	MLFH040320200206	0.9999979734420776
SV_all	82579	0.021708635613322258	0.047350794076919556	0.9216399183370246	0.9600770827165853	-0.0009751338159035456	MLFH040320200206	0.9999979734420776
SV_med_50-500bp	39780	0.02504313364624977	0.051830414682626724	0.9265532231237961	0.9585713223880481	-0.00031182145930248016	MLFH040320200206	0.9999979734420776
SV_big_500-5kb	34906	0.01868640072643757	0.042764775454998016	0.9144558253943045	0.9609743482097917	-0.0014019757320614867	MLFH040320200206	0.9999979734420776
SV_huge_>=5kb	7893	0.018268579617142677	0.04278489947319031	0.8883914312082991	0.9653461011911331	-0.002186174920204548	MLFH040320200206	0.9999979734420776
all_poly	2629716	0.0211443230509758	0.03385153040289879	0.9756699662998803	0.9820967596570164	-0.00122351334677008	MLFH040420180306	1.000001072883606
SNP	2509382	0.021515987813472748	0.03427969664335251	0.9757392730270249	0.9823167206193146	-0.0012248899796382599	MLFH040420180306	1.000001072883606
INS	79713	0.01244076807051897	0.02168801985681057	0.8932208211727484	0.9100200020861182	0.0003817717915469906	MLFH040420180306	1.000001072883606
DEL	40621	0.01526378933340311	0.025875814259052277	0.9667322864039287	0.9705052813326215	-0.000744971773126496	MLFH040420180306	1.000001072883606
SV_all	120334	0.013393731787800789	0.02318641170859337	0.946029408821498	0.9535081800571396	-0.0005820249753865238	MLFH040420180306	1.000001072883606
SV_med_50-500bp	54536	0.015265611931681633	0.026191966608166695	0.9526805467698919	0.9603751139290597	-0.00042833020114791277	MLFH040420180306	1.000001072883606
