label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
4.strong_>=0.8	7141	0.014612387620781403	0.03312952821448452	0.9279717564578078	0.8981274030321728	0.001663564898802187	MLFH040620190208	7173
SV_all	15639	0.015443985548948143	0.033927552094401944	0.9454443487668702	0.9198674969446542	0.001657466152028776	MLFH040620190208	15726
1.untagged_<0.2	180	0.016191333333333332	0.03000130604564482	0.9880909746512181	0.9368976841416164	0.00011584994255584209	MLFH040620190221	180
2.weak_0.2-0.5	3871	0.01473638336347197	0.02867224858022727	0.9651793732762592	0.9324824337556206	0.0009895944427926046	MLFH040620190221	3908
3.medium_0.5-0.8	5210	0.014726057581573896	0.027830766159572227	0.9549552523140226	0.9187172325128633	0.0013189866177589075	MLFH040620190221	5239
4.strong_>=0.8	7746	0.013690059385489287	0.026435940572700187	0.9354632032045739	0.8947718422711902	0.0012766928147096253	MLFH040620190221	7777
SV_all	17007	0.014272060916093374	0.02742676264359347	0.9539936748815703	0.9170965477739264	0.0010429139622646915	MLFH040620190221	17104
1.untagged_<0.2	186	0.02846016129032258	0.06005773845100615	0.9509071550733406	0.8661374603973006	0.0014786891670344816	MLFH040620200206	186
2.weak_0.2-0.5	3930	0.020619885496183207	0.04333909391412919	0.9311680006593219	0.8918670574814165	0.0019108431540998672	MLFH040620200206	3966
3.medium_0.5-0.8	5281	0.01954487597046014	0.0413849379120895	0.9188633072541749	0.8803924080292532	0.002617421750135636	MLFH040620200206	5306
4.strong_>=0.8	8096	0.017836070899209484	0.04010430675370363	0.8903301707839124	0.8334989753467839	0.0031827411939008856	MLFH040620200206	8127
SV_all	17493	0.01909032527296633	0.04149399525831417	0.9144176925141164	0.8679006973784609	0.0025758788628781576	MLFH040620200206	17585
1.untagged_<0.2	182	0.019400934065934065	0.03552947970378933	0.976207557730453	0.9723801507269391	-0.0026814493505540192	MLFH040720180306	182
2.weak_0.2-0.5	3963	0.014930996719656824	0.02736865079850313	0.9668622651555214	0.9416263474969814	0.0006917298899059307	MLFH040720180306	4012
3.medium_0.5-0.8	5340	0.014292353932584271	0.02598781974958805	0.9579609198078092	0.9314589068028681	0.0012543784581663957	MLFH040720180306	5373
4.strong_>=0.8	7981	0.013509626613206366	0.02457764806027858	0.9394738265684235	0.9071157457302728	0.001292289012268421	MLFH040720180306	8014
SV_all	17466	0.014132830069849993	0.025799560212800877	0.9563305835563187	0.9293686196283945	0.0009355978846683455	MLFH040720180306	17581
1.untagged_<0.2	203	0.015614285714285712	0.0268943340856644	0.9840132400148335	0.9670438159052341	0.0017690508919062963	MLFH040720180321	203
2.weak_0.2-0.5	4167	0.013105464362850972	0.023622547964396508	0.9719410192459647	0.9521390954939258	0.0008305797060079061	MLFH040720180321	4216
3.medium_0.5-0.8	5612	0.012840743050605846	0.022270692490244007	0.9627396970625574	0.9444904602510611	0.0005050103868685357	MLFH040720180321	5646
4.strong_>=0.8	8326	0.012136280326687484	0.02066120991635734	0.9452666668736304	0.9270357382665467	0.0006752080529148991	MLFH040720180321	8376
SV_all	18308	0.01261137699366397	0.021936297253940557	0.9621877828890346	0.943648730418807	0.0005222537665943121	MLFH040720180321	18441
1.untagged_<0.2	156	0.019869230769230774	0.03986901148665561	0.9804372742851939	0.940971263426788	0.0019034422115210218	MLFH040720190208	156
2.weak_0.2-0.5	3120	0.01968666025641026	0.04696643231934583	0.9327108580750659	0.9230127454700431	0.0023941293766071023	MLFH040720190208	3147
3.medium_0.5-0.8	4074	0.01869363770250368	0.04392543537464636	0.9303531302583614	0.9190405707742103	0.0029914327039044218	MLFH040720190208	4096
4.strong_>=0.8	6122	0.016653382881411303	0.04120522619021922	0.909786288706149	0.897015057025649	0.0032223515610029186	MLFH040720190208	6155
SV_all	13472	0.018010085362232777	0.04340838401368602	0.9262339641639734	0.9137956044336039	0.002853116610530718	MLFH040720190208	13554
1.untagged_<0.2	202	0.023400297029702973	0.04637740394879497	0.9658590447035086	0.8949098285716953	0.002183009101183183	MLFH040720190221	202
2.weak_0.2-0.5	4080	0.017133436274509806	0.035081743692270996	0.9473431694627626	0.9045834997627283	0.0011866411816912653	MLFH040720190221	4117
3.medium_0.5-0.8	5442	0.01631792539507534	0.03265438789878734	0.9390061044018716	0.885927563867903	0.0018891748608783451	MLFH040720190221	5466
4.strong_>=0.8	8231	0.015151386222816183	0.0317271298483191	0.9084145381135599	0.8504822551341624	0.002082983255776072	MLFH040720190221	8267
SV_all	17955	0.016048147591200223	0.03299250548847615	0.9336268509498186	0.8818522383513272	0.0016319432581361106	MLFH040720190221	18052
1.untagged_<0.2	171	0.027668011695906432	0.06320249539358876	0.950316853447881	0.8745094196729593	0.008486481126192293	MLFH040720200212	171
2.weak_0.2-0.5	3364	0.023706459571938166	0.05664908824998071	0.9040500983816028	0.8896342281173888	0.0026187439328606414	MLFH040720200212	3382
3.medium_0.5-0.8	4454	0.022422085765603953	0.05204581093949204	0.9034305298041637	0.8801890648163543	0.002972485861050202	MLFH040720200212	4475
4.strong_>=0.8	6830	0.019617137628111275	0.04906611999482941	0.8777213556076784	0.8430417713060712	0.003331789779284282	MLFH040720200212	6858
SV_all	14819	0.021481394156150885	0.05194542359195772	0.8965766939986849	0.8703880343424552	0.0030009698041643523	MLFH040720200212	14886
1.untagged_<0.2	185	0.020138378378378383	0.0341444677961318	0.9806406913627749	0.9446969256827303	0.0007398329904749146	MLFH040820180306	185
2.weak_0.2-0.5	4084	0.015781094515181195	0.029015896017853784	0.9613156473974513	0.9407080193296193	0.0008494298480677281	MLFH040820180306	4133
3.medium_0.5-0.8	5493	0.015141933369743312	0.02780364198758015	0.9513502736882603	0.9313021878059091	0.0017299733260029212	MLFH040820180306	5526
4.strong_>=0.8	8306	0.013875002407897906	0.025093063139723856	0.9319238887072107	0.918340871763384	0.0013474828108147325	MLFH040820180306	8342
SV_all	18068	0.014755147221607262	0.02695775314356669	0.9504767631802991	0.9313925836253149	0.001248083044678331	MLFH040820180306	18186
1.untagged_<0.2	202	0.01805331683168317	0.033207483909862286	0.9779747934303396	0.946921862720277	0.0002334174578139011	MLFH040820180321	202
