label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
SV_all	18755	0.011785283924286858	0.021465387151315296	0.9636096933390652	0.9483327213285185	0.0005240019402453358	MLFH040920180321	18888
1.untagged_<0.2	137	0.025096569343065697	0.0650824080920927	0.9571024820806351	0.8996917061120664	0.006794295229398901	MLFH040920190208	137
2.weak_0.2-0.5	2767	0.019743335742681604	0.0498777499757704	0.9414628291113802	0.9336631407513851	0.0012541773297519334	MLFH040920190208	2793
3.medium_0.5-0.8	3600	0.019674775	0.05018658140573478	0.9324413022214968	0.9273668523009869	0.002123274785699533	MLFH040920190208	3622
4.strong_>=0.8	5398	0.017506250463134494	0.04808032412446948	0.9124940635787411	0.9067743934463987	0.0017375203631310682	MLFH040920190208	5419
SV_all	11902	0.018769616030919173	0.049370048118537256	0.9291381935360397	0.9214317239295851	0.0017401610754493155	MLFH040920190208	11971
1.untagged_<0.2	179	0.02076614525139665	0.03506617879056781	0.9810029762917006	0.9396321234964962	-0.002679946400436586	MLFH040920190221	179
2.weak_0.2-0.5	3923	0.015925620698445067	0.03034264900492783	0.9598456414364894	0.9345876031671945	0.0008471467568155814	MLFH040920190221	3972
3.medium_0.5-0.8	5310	0.015200760828625237	0.028724945796260726	0.9498434590012051	0.9249453242175054	0.0018719735692410216	MLFH040920190221	5343
4.strong_>=0.8	7937	0.014058683381630339	0.02737083684739283	0.9288430296929625	0.8912465408884188	0.0017501519455828194	MLFH040920190221	7973
SV_all	17349	0.014899599976943916	0.028568376374516008	0.9481714489674843	0.9185978438922456	0.0013642529357016063	MLFH040920190221	17467
1.untagged_<0.2	195	0.024497025641025644	0.05641649902334673	0.9542673461371299	0.8664572269116987	0.0034157797769818095	MLFH040920200206	195
2.weak_0.2-0.5	3894	0.018910991268618386	0.04259611010824069	0.9327223495964647	0.9035824664592673	0.0017084216971686272	MLFH040920200206	3936
3.medium_0.5-0.8	5161	0.01763106568494478	0.040369175643829684	0.9253173991822196	0.8971946720950938	0.0019654488019816424	MLFH040920200206	5193
4.strong_>=0.8	7960	0.01639345728643216	0.038860938240470315	0.8959933880030417	0.8549141613584538	0.0025001927915431726	MLFH040920200206	7998
SV_all	17210	0.017426041255084256	0.04042031998166398	0.918995863634483	0.8843201636032044	0.0020409412634186113	MLFH040920200206	17322
1.untagged_<0.2	196	0.02115301020408163	0.0336047103188265	0.9779130835790933	0.9590850285091703	-0.0004244350940731654	MLFH041020180306	196
2.weak_0.2-0.5	4279	0.01511078523019397	0.02771983093537491	0.9636864863882492	0.9339769267876056	0.0010411220994536931	MLFH041020180306	4339
3.medium_0.5-0.8	5749	0.014298255348756306	0.025498493151908334	0.9546692473876274	0.9299251451223769	0.0009417089125151056	MLFH041020180306	5784
4.strong_>=0.8	8706	0.013507845164254538	0.024413640874779256	0.9293814032341521	0.9083769728989952	0.001091807664281888	MLFH041020180306	8754
SV_all	18930	0.014189382461701002	0.025631095594997384	0.9517238402937415	0.9265782092588273	0.0008812421755453102	MLFH041020180306	19073
1.untagged_<0.2	202	0.01592371287128713	0.02669280535876273	0.9852771711027714	0.9617596195559299	2.044739286293704e-06	MLFH041020180321	202
2.weak_0.2-0.5	4296	0.013704965083798884	0.025505684891836876	0.9667438144022412	0.9451709074568798	0.0008210793081279544	MLFH041020180321	4349
3.medium_0.5-0.8	5777	0.01300372857884715	0.022438185796964435	0.9614819723769841	0.9411987109664472	0.0006423635608503765	MLFH041020180321	5815
4.strong_>=0.8	8684	0.012555755412252418	0.021876839683910115	0.9362158099501291	0.9256892748136312	0.0005730033785613137	MLFH041020180321	8731
SV_all	18959	0.012988545809378133	0.02297019365481932	0.9574872310861027	0.9394285038417649	0.0005279402979084506	MLFH041020180321	19097
1.untagged_<0.2	174	0.0216583908045977	0.04028460357329425	0.9731902599921641	0.9408719376321407	0.0004298337854085765	MLFH041020190208	174
2.weak_0.2-0.5	3574	0.01767454113038612	0.035029200321758255	0.9522191141005812	0.9308672558873714	0.0014785619429058456	MLFH041020190208	3611
3.medium_0.5-0.8	4752	0.017237811447811446	0.03407754909983279	0.9399143372557138	0.9272009810263306	0.001999427155221252	MLFH041020190208	4777
4.strong_>=0.8	7189	0.015582527472527473	0.0320902074294773	0.91875718788588	0.8961297447457317	0.0022306840102229875	MLFH041020190208	7224
SV_all	15689	0.016627843712155012	0.033483206739476794	0.938662172909174	0.9192438757337462	0.0018246871707406197	MLFH041020190208	15786
1.untagged_<0.2	181	0.018884585635359115	0.033975741012493996	0.983145884704441	0.9353076184002109	-0.002158799530736416	MLFH041020190221	181
2.weak_0.2-0.5	3999	0.014898892223055763	0.028007089415706603	0.9658713043107857	0.9415400564074808	0.0009033770106091117	MLFH041020190221	4044
3.medium_0.5-0.8	5408	0.014839487795857987	0.027670008753377405	0.9516432400303338	0.9268602623903808	0.0011520748896441666	MLFH041020190221	5440
4.strong_>=0.8	8139	0.012906481140189212	0.02474892496110804	0.9369161032306585	0.9128706075566696	0.000975810321117332	MLFH041020190221	8174
SV_all	17727	0.014006689231116377	0.026524141910952953	0.9536730905200315	0.9282655026308895	0.0008623162686908452	MLFH041020190221	17839
1.untagged_<0.2	146	0.02395554794520548	0.07315501884954109	0.9438968308319039	0.8980514327321747	0.0026175159471861506	MLFH041020200206	146
2.weak_0.2-0.5	2910	0.016995037800687285	0.05099137818773421	0.9486646915905397	0.9374996951373175	0.0006810726178460412	MLFH041020200206	2942
3.medium_0.5-0.8	3765	0.01695161752988048	0.049607861074883755	0.9446655029987802	0.9365923880918974	0.0011625126758636082	MLFH041020200206	3785
4.strong_>=0.8	5587	0.01581639878288885	0.05009487515404626	0.9265929556785993	0.9112538712763569	0.0010462174245926296	MLFH041020200206	5610
SV_all	12408	0.016533053675048353	0.050492168824289904	0.9393302390138429	0.9267053126707125	0.0009772441956992322	MLFH041020200206	12483
1.untagged_<0.2	185	0.016027891891891893	0.025344799071998974	0.9886635002169423	0.9682907756821589	-0.0025284320582816865	MLFH041120180306	185
2.weak_0.2-0.5	4056	0.013987014299802761	0.024995697910412493	0.9710213713721791	0.9499932414056133	0.0005011956870460698	MLFH041120180306	4111
3.medium_0.5-0.8	5498	0.013410825754819935	0.02385392215893429	0.9621573727985309	0.9372549157336021	0.0005544211993507244	MLFH041120180306	5533
4.strong_>=0.8	8267	0.012388283536954156	0.022437788002527187	0.944804180867476	0.9171411382668425	0.0005807162210140675	MLFH041120180306	8307
SV_all	18006	0.013098031211818283	0.02349955362008434	0.9613712683231348	0.9372463196016871	0.0003629624531218728	MLFH041120180306	18136
1.untagged_<0.2	205	0.013618682926829268	0.023476875420553628	0.9887673943287787	0.9635679158635704	-0.0009442547039167162	MLFH041120180321	205
2.weak_0.2-0.5	4337	0.012883179617246946	0.023708948690918188	0.9702059810089416	0.9557706091924424	0.00029528243454873793	MLFH041120180321	4393
3.medium_0.5-0.8	5818	0.012326160192506016	0.02133466866004634	0.9651439369251196	0.9422571083477937	0.0003885341581193507	MLFH041120180321	5855
4.strong_>=0.8	8732	0.0117660833715071	0.020276943519723614	0.9447574162013326	0.9277092102416744	0.0005211337892534241	MLFH041120180321	8781
SV_all	19092	0.012210413785878902	0.02145606668816064	0.9623884217383153	0.9440732481316231	0.00027210663219026345	MLFH041120180321	19234
1.untagged_<0.2	164	0.03260737804878049	0.06881492138691872	0.9344805709372389	0.8704340371205243	0.00574482891188312	MLFH041120190208	164
2.weak_0.2-0.5	3575	0.025339255944055943	0.054433609644823626	0.9018540452751528	0.8779938216576767	0.004238221864605692	MLFH041120190208	3600
3.medium_0.5-0.8	4744	0.02354237984822934	0.05112690383014765	0.8884277323236949	0.8719282315434237	0.005260503606670534	MLFH041120190208	4767
4.strong_>=0.8	7166	0.02251596706670388	0.049996054035195095	0.8491850965773283	0.822536682593577	0.005665031520499601	MLFH041120190208	7196
SV_all	15649	0.023577859288133426	0.051609787694189856	0.8812791176128173	0.8573545521232254	0.005080308747068063	MLFH041120190208	15727
1.untagged_<0.2	191	0.024087643979057587	0.04785802332795033	0.962916617570034	0.9055234014595066	0.0022181931708913295	MLFH041120190221	191
2.weak_0.2-0.5	4170	0.01825481055155875	0.03659010962473493	0.9431601355506545	0.9078917022823433	0.0018898257235293932	MLFH041120190221	4213
3.medium_0.5-0.8	5592	0.01753316165951359	0.03503358188601258	0.928142290899651	0.8893066632262493	0.002473024334868462	MLFH041120190221	5620
4.strong_>=0.8	8486	0.016292930709403724	0.03338132684079728	0.900102153948631	0.8591485236653619	0.0023329868931312955	MLFH041120190221	8524
SV_all	18439	0.017193478496664683	0.03480736756519659	0.925867564642337	0.8869056522883881	0.0021039970570662712	MLFH041120190221	18548
1.untagged_<0.2	182	0.026458736263736266	0.05668825786413206	0.9544293303505057	0.8814165191070483	0.0036760904424925083	MLFH041120200212	182
2.weak_0.2-0.5	3798	0.019049992101105848	0.040693148318075134	0.9438519390103545	0.9075555065241944	0.0012838327003078698	MLFH041120200212	3830
3.medium_0.5-0.8	5113	0.018209309602972814	0.039965085543600856	0.9323062002981647	0.8947335810208195	0.002546704609458357	MLFH041120200212	5140
4.strong_>=0.8	7860	0.016444945292620868	0.03718519757052231	0.9158355826624943	0.8583988487103426	0.0026068293651580836	MLFH041120200212	7889
SV_all	16953	0.01766819029080399	0.03909323738096749	0.9310700597174979	0.8860810100897086	0.0021826090927231376	MLFH041120200212	17041
1.untagged_<0.2	192	0.017588645833333336	0.03172654243361017	0.9846327431347728	0.9327777098610396	-0.00038735455447743415	MLFH041220180306	192
2.weak_0.2-0.5	4014	0.014158931240657698	0.026690068497991975	0.9692936009601614	0.9337697586464305	0.0009613470510827206	MLFH041220180306	4057
3.medium_0.5-0.8	5387	0.013712986820122517	0.02532943296314127	0.9597399186103673	0.9305464772908564	0.0010732257705156855	MLFH041220180306	5417
4.strong_>=0.8	8068	0.012458512642538421	0.023845672097653176	0.9427440725129597	0.9088473321327861	0.0010406478421669675	MLFH041220180306	8102
SV_all	17661	0.013283399014778324	0.025065974989500854	0.95912750652282	0.9254772320163156	0.0009118827254585999	MLFH041220180306	17768
1.untagged_<0.2	203	0.016313004926108373	0.0271437477764172	0.9846495024400408	0.9623619675913581	0.0006727370640813876	MLFH041220180321	203
2.weak_0.2-0.5	4304	0.012372316449814126	0.022311434377310847	0.9738327023272004	0.9529678245186642	0.00029570778579706954	MLFH041220180321	4354
3.medium_0.5-0.8	5784	0.011949759681881052	0.020584728447213114	0.9672300000557589	0.9427840654195414	0.000284029693209586	MLFH041220180321	5820
4.strong_>=0.8	8676	0.011206588289534348	0.01935786677637435	0.9495353449917142	0.932897721769437	0.00018970646696419923	MLFH041220180321	8720
SV_all	18967	0.011752399430589972	0.020529823115892187	0.9655370789145137	0.9447667582921566	0.00013639967188207728	MLFH041220180321	19097
1.untagged_<0.2	177	0.020429152542372882	0.04195615455549693	0.9731992668048818	0.9294579247913803	0.0024884028731369926	MLFH041220190208	177
2.weak_0.2-0.5	3787	0.019105901769210457	0.040257319332467754	0.9350028034492324	0.920074114076679	0.0020347910709998364	MLFH041220190208	3819
3.medium_0.5-0.8	5028	0.019019319809069214	0.040072997593860106	0.9195638262669967	0.8987436372210399	0.0030166217614675667	MLFH041220190208	5053
4.strong_>=0.8	7560	0.017150984126984126	0.037527684078578406	0.8921554767425283	0.8655676257191909	0.00311282189367095	MLFH041220190208	7589
SV_all	16552	0.018200857298211696	0.03899576654711571	0.9178293843320988	0.8962069828759102	0.002647327698155445	MLFH041220190208	16638
1.untagged_<0.2	172	0.01602819767441861	0.030638022935865244	0.9871151254019223	0.9457716770347048	0.0010307425664104642	MLFH041220190221	172
2.weak_0.2-0.5	3534	0.0172313610639502	0.03624274530102944	0.9493307430164206	0.9352161817226677	0.001368417741517893	MLFH041220190221	3573
3.medium_0.5-0.8	4681	0.016438910489211707	0.03348781914779415	0.9412647754409164	0.9310796848386586	0.0014009828634747867	MLFH041220190221	4709
4.strong_>=0.8	6984	0.014551093928980527	0.0311485966360291	0.9190422361153974	0.9137839109351108	0.0012303590127597061	MLFH041220190221	7017
SV_all	15371	0.015758757400299268	0.03308862362959701	0.9393820418474429	0.9281272663672142	0.0012089723863273568	MLFH041220190221	15471
1.untagged_<0.2	176	0.02940994318181818	0.06475917399471115	0.9551013915029416	0.8353586584642451	0.003036038796022511	MLFH041220200212	176
2.weak_0.2-0.5	3460	0.02291927167630058	0.05227151335350733	0.9268321765063001	0.8266452673874644	0.002307308310593411	MLFH041220200212	3486
3.medium_0.5-0.8	4626	0.021500771725032425	0.04926044141534801	0.9139869410329193	0.8132969238453458	0.003450971203254154	MLFH041220200212	4647
4.strong_>=0.8	6994	0.019295929368029742	0.04734754014465271	0.8898843308616999	0.768739259376345	0.003144907803174387	MLFH041220200212	7027
SV_all	15256	0.020902931961195595	0.049311185527863205	0.9113463332506154	0.8035245656350423	0.002873161777459589	MLFH041220200212	15336
