blockdef,model,cls,axis,missing,npts,rho,p,ci_lo,ci_hi,ambiguous,direction
clq0.9 tile,lfmm,snp,bio11,False,56807,0.0631779061276437,2.449439621556463e-51,0.05494113896889268,0.07140607539088643,False,increasing
clq0.9 tile,lfmm,snp,bio12,False,56807,0.07219377800250512,1.6110978846785253e-66,0.06396649063292341,0.08041125254296512,False,increasing
clq0.9 tile,lfmm,snp,bio13,False,56807,0.036878868768073114,1.4615395719209853e-18,0.028622136281033845,0.045130569142920365,False,increasing
clq0.9 tile,lfmm,snp,bio14,False,56807,0.052751780507577097,2.6705444300608004e-36,0.044505728680768804,0.06099064462124543,False,increasing
clq0.9 tile,lfmm,snp,bio15,False,56807,-0.05097863058798393,5.201899169945514e-34,-0.05921913502038122,-0.04273117876256406,False,decreasing
clq0.9 tile,lfmm,snp,bio16,False,56807,0.05527952479738891,1.0672079327109466e-39,0.04703555873309707,0.0635159607922584,False,increasing
clq0.9 tile,lfmm,snp,bio17,False,56807,0.021801509896422818,2.0283237053076272e-07,0.013538492418357992,0.030061549928696106,False,increasing
clq0.9 tile,lfmm,snp,bio18,False,56807,0.061993316350934934,1.7116156683056177e-49,0.05375540367938848,0.07022279108217318,False,increasing
clq0.9 tile,lfmm,snp,bio19,False,56807,0.028641686480953124,8.624307542566682e-12,0.020381054316206102,0.03689840838294409,False,increasing
clq0.9 tile,lfmm,snp,pc1,False,56807,0.07617845375644064,7.093823407241499e-74,0.06795578499204415,0.08439077423410124,False,increasing
clq0.9 tile,lfmm,sv,bio1,False,4481,0.23705269606767648,2.8168911602248383e-58,0.2090807936710673,0.2646370051593767,False,increasing
clq0.9 tile,lfmm,sv,bio2,False,4481,-0.07642144041957569,3.027359795836345e-07,-0.10561447491954992,-0.0470967922239734,False,decreasing
clq0.9 tile,lfmm,sv,bio3,False,4481,0.1356864661640349,7.336228046339248e-20,0.1066819074411471,0.16446029667142487,False,increasing
clq0.9 tile,lfmm,sv,bio4,False,4481,0.23297940949617743,2.6805896629652146e-56,0.20495414741909274,0.2606229661842806,False,increasing
clq0.9 tile,lfmm,sv,bio5,False,4481,0.04460097948308906,0.002824172897523102,0.0151903439627512,0.07393450550982386,False,increasing
clq0.9 tile,lfmm,sv,bio6,False,4481,0.20432947406998772,1.9279277341634415e-43,0.1759570227290502,0.23236272779235984,False,increasing
clq0.9 tile,lfmm,sv,bio7,False,4481,0.011351462321340782,0.4474444212700584,-0.01808515442714921,0.04076841726497418,True,increasing
clq0.9 tile,lfmm,sv,bio8,False,4481,-0.007265853404054275,0.6267906870882667,-0.03668858284096373,0.022169462133750973,True,decreasing
clq0.9 tile,lfmm,sv,bio9,False,4481,0.11073406776744713,1.0586516890823796e-13,0.08156932466786176,0.13970933447793338,False,increasing
clq0.9 tile,lfmm,sv,bio10,False,4481,0.1572664549045463,3.298779958085123e-26,0.12843031231950508,0.18583689444382534,False,increasing
clq0.9 tile,lfmm,sv,bio11,False,4481,0.27162356924619835,1.253623518046556e-76,0.24414469631533833,0.2986665920820171,False,increasing
clq0.9 tile,lfmm,sv,bio12,False,4481,0.005380963450990915,0.7187684122221105,-0.024053420624286784,0.03480602625892966,True,increasing
clq0.9 tile,lfmm,sv,bio13,False,4481,0.020154004376727805,0.17737707678568235,-0.009282076089389142,0.04955518587778541,True,increasing
clq0.9 tile,lfmm,sv,bio14,False,4481,0.06441432987468158,1.594646518782746e-05,0.03505020146166351,0.09366733481275442,False,increasing
clq0.9 tile,lfmm,sv,bio15,False,4481,0.12130402430732458,3.7010620564102217e-16,0.0922026171405513,0.1501983838513917,False,increasing
clq0.9 tile,lfmm,sv,bio16,False,4481,0.012581045518224967,0.39980084632764773,-0.016855770483104163,0.04199607060125708,True,increasing
clq0.9 tile,lfmm,sv,bio17,False,4481,-0.06227677887796205,3.0232093496411467e-05,-0.09153957621167652,-0.032906516444737244,False,decreasing
clq0.9 tile,lfmm,sv,bio18,False,4481,-0.018100802075155333,0.2257291897298465,-0.047506069642740414,0.011335811563476988,True,decreasing
clq0.9 tile,lfmm,sv,bio19,False,4481,0.07947143991631588,9.996807394472892e-08,0.050158179529957804,0.10864789927261255,False,increasing
clq0.9 tile,lfmm,sv,pc1,False,4481,0.21626636189646142,1.4173403112714395e-48,0.18803258498622508,0.24414300477426043,False,increasing
clq0.9 tile,lfmm,smallindel,bio1,False,41692,0.06908625000062288,2.744188470135748e-45,0.05947779022735386,0.07868190924188763,False,increasing
clq0.9 tile,lfmm,smallindel,bio2,False,41692,-0.038912974381165755,1.8914335332870952e-15,-0.04854285440038494,-0.02927586083020164,False,decreasing
clq0.9 tile,lfmm,smallindel,bio3,False,41692,0.07753381313554172,1.3038922645730759e-56,0.06793652857511752,0.08711674984795428,False,increasing
clq0.9 tile,lfmm,smallindel,bio4,False,41692,-0.0069623288640428965,0.15514646967052081,-0.016609317938047194,0.0026859563367915684,True,decreasing
clq0.9 tile,lfmm,smallindel,bio5,False,41692,0.021965766868171446,7.273874511608058e-06,0.012320273102917239,0.03160717319887186,False,increasing
clq0.9 tile,lfmm,smallindel,bio6,False,41692,0.04489035181271208,4.7153958039765533e-20,0.03525751730749275,0.05451484583765374,False,increasing
clq0.9 tile,lfmm,smallindel,bio7,False,41692,-0.03262773292030211,2.6700595966835147e-11,-0.042262533629158903,-0.022986864311975278,False,decreasing
clq0.9 tile,lfmm,smallindel,bio8,False,41692,0.05320258095478366,1.5914149752053326e-27,0.04357684435024097,0.06281844076946659,False,increasing
clq0.9 tile,lfmm,smallindel,bio9,False,41692,0.06892028147434888,4.444202880886156e-45,0.05931161596278767,0.07851617691124681,False,increasing
