model,cls,axis,n_blocks,z_nominal,z_honest_perm,z_honest_emp,max_z,hits_nominal,hits_honest_perm,hits_honest_emp
kendall,nonsnp,bio6,41908,4.71762147723684,6.624461829627677,7.199953685493814,5.968354407857545,13,0,0
kendall,nonsnp,bio7,41908,4.71762147723684,6.624461829627677,7.197314473708347,6.0626484607474875,9,0,0
kendall,nonsnp,bio8,41908,4.71762147723684,6.624461829627677,7.401219049322796,5.576904047895724,13,0,0
kendall,nonsnp,bio9,41908,4.71762147723684,6.624461829627677,7.697757992634772,5.691327569191557,10,0,0
kendall,smallindel,bio10,41731,4.716760060233092,6.465106948736625,6.383338303096017,5.133726778587886,6,0,0
kendall,smallindel,bio11,41731,4.716760060233092,6.465106948736625,7.0520992218671825,6.44042223775468,9,0,0
kendall,smallindel,bio12,41731,4.716760060233092,6.465106948736625,6.6526126452780225,5.653892260245237,8,0,0
kendall,smallindel,bio13,41731,4.716760060233092,6.465106948736625,6.384672561296509,5.597863654667701,11,0,0
kendall,smallindel,bio14,41731,4.716760060233092,6.465106948736625,7.139556818343989,6.132563320455172,10,0,0
kendall,smallindel,bio15,41731,4.716760060233092,6.465106948736625,6.609574458708369,6.168231062649361,10,0,0
kendall,smallindel,bio16,41731,4.716760060233092,6.465106948736625,7.741148022674573,6.660183623784552,10,1,0
kendall,smallindel,bio17,41731,4.716760060233092,6.465106948736625,6.9198675619770125,6.218753088488455,11,0,0
kendall,smallindel,bio18,41731,4.716760060233092,6.465106948736625,7.007430457693538,6.046653483585577,6,0,0
kendall,smallindel,bio19,41731,4.716760060233092,6.465106948736625,6.934831786412043,5.6579108469439365,11,0,0
kendall,smallindel,bio1,41731,4.716760060233092,6.465106948736625,6.621528818149073,5.960033789040334,4,0,0
kendall,smallindel,bio2,41731,4.716760060233092,6.465106948736625,8.015018682739997,7.030246880928605,15,1,0
kendall,smallindel,bio3,41731,4.716760060233092,6.465106948736625,6.223036176607123,5.359641728227028,6,0,0
kendall,smallindel,bio4,41731,4.716760060233092,6.465106948736625,7.202125033762744,5.744322435146397,10,0,0
kendall,smallindel,bio5,41731,4.716760060233092,6.465106948736625,6.774187390246082,5.706847660803516,8,0,0
kendall,smallindel,bio6,41731,4.716760060233092,6.465106948736625,7.588030230712347,6.049333814017045,12,0,0
kendall,smallindel,bio7,41731,4.716760060233092,6.465106948736625,7.40719250567488,6.133757858004708,11,0,0
kendall,smallindel,bio8,41731,4.716760060233092,6.465106948736625,7.378480049646771,5.5827451153679455,13,0,0
kendall,smallindel,bio9,41731,4.716760060233092,6.465106948736625,7.467882893483802,5.829631021625524,11,0,0
kendall,snp,bio10,56846,4.779291636472057,6.477023275768772,6.579195229141055,5.874512606314271,6,0,0
kendall,snp,bio11,56846,4.779291636472057,6.477023275768772,6.784305318336838,6.990941168977382,5,1,1
kendall,snp,bio12,56846,4.779291636472057,6.477023275768772,5.765082847757991,5.3958030720857755,2,0,0
kendall,snp,bio13,56846,4.779291636472057,6.477023275768772,6.981117120947536,5.579998082398011,13,0,0
kendall,snp,bio14,56846,4.779291636472057,6.477023275768772,5.772235992621341,5.4903081224396,2,0,0
kendall,snp,bio15,56846,4.779291636472057,6.477023275768772,6.090438911273871,5.268261904675428,4,0,0
kendall,snp,bio16,56846,4.779291636472057,6.477023275768772,6.719079717241067,6.219084352679398,5,0,0
kendall,snp,bio17,56846,4.779291636472057,6.477023275768772,5.899874853978647,5.44862217904847,2,0,0
kendall,snp,bio18,56846,4.779291636472057,6.477023275768772,5.228632913120961,5.142371559420379,2,0,0
kendall,snp,bio19,56846,4.779291636472057,6.477023275768772,5.559748566034644,5.079326026054936,3,0,0
kendall,snp,bio1,56846,4.779291636472057,6.477023275768772,6.091113971453248,6.267707577784102,3,0,1
kendall,snp,bio2,56846,4.779291636472057,6.477023275768772,7.98206784820624,7.097260826489056,12,2,0
kendall,snp,bio3,56846,4.779291636472057,6.477023275768772,6.779742548855672,6.044665183438088,10,0,0
kendall,snp,bio4,56846,4.779291636472057,6.477023275768772,6.306954097501942,5.610319468286819,8,0,0
kendall,snp,bio5,56846,4.779291636472057,6.477023275768772,7.535057006468506,5.587488526912143,11,0,0
kendall,snp,bio6,56846,4.779291636472057,6.477023275768772,6.548867013259315,5.710980239398296,7,0,0
kendall,snp,bio7,56846,4.779291636472057,6.477023275768772,6.443434717352199,5.825672128197904,6,0,0
kendall,snp,bio8,56846,4.779291636472057,6.477023275768772,7.025244154976953,6.1255604787837905,11,0,0
