panel	ecotype	layout	file_r1	file_r2
loo	7255	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7255_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7255_2P_dedup.fq.gz
loo	7288	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7288_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7288_2P_dedup.fq.gz
loo	7298	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7298_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7298_2P_dedup.fq.gz
loo	7316	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7316_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7316_2P_dedup.fq.gz
loo	7323	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7323_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7323_2P_dedup.fq.gz
loo	7346	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7346_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7346_2P_dedup.fq.gz
loo	7347	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7347_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7347_2P_dedup.fq.gz
loo	7372	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7372_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7372_2P_dedup.fq.gz
loo	7378	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7378_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7378_2P_dedup.fq.gz
loo	7411	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7411_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/7411_2P_dedup.fq.gz
loo	763	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/763_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/763_2P_dedup.fq.gz
loo	765	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/765_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/765_2P_dedup.fq.gz
loo	766	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/766_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/766_2P_dedup.fq.gz
loo	768	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/768_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/768_2P_dedup.fq.gz
loo	772	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/772_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/772_2P_dedup.fq.gz
loo	8214	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8214_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8214_2P_dedup.fq.gz
loo	8230	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8230_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8230_2P_dedup.fq.gz
loo	8231	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8231_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8231_2P_dedup.fq.gz
loo	8247	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8247_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8247_2P_dedup.fq.gz
loo	8249	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8249_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8249_2P_dedup.fq.gz
loo	8354	PE	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8354_1P_dedup.fq.gz	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/pangenie_genotyping/data/loo_preprocessed/8354_2P_dedup.fq.gz
