panel	ecotype	layout	trim_in	trim_both_surv	trim_fwd_only	trim_rev_only	trim_surv	trim_dropped	trim_drop_pct	read_count	base_count	library_layout	instrument_model	clump_in	clump_out	dup_count	dup_pct	gz_r1	gz_r2	n_r1	n_r2	pair_ok	bases_total	cov_est	lmean_r1	lmean_r2	qc_reads_total	trim_out	clump_in_pairs	clump_out_pairs	qc_reads_pairs	pct_ena_to_trim_in	pct_trim_surv	pct_clump_link	pct_clump_keep	pct_qc_link	flag_ena_link	flag_low_trim	flag_high_dup	flag_clump_link	flag_qc_link	flag_low_cov
main	7036	PE	15922078	13906682.0	651545.0	421213.0		942638	5.92	15922078.0	3216259756.0	PAIRED	Illumina HiSeq 2000	27813364	27519976	293388	1.055	OK	OK	13759988.0	13759988.0	yes	2669956726.0	22.31	97.5	96.6	27519976.0	13906682.0	13906682.0	13759988.0	13759988.0	100.0	87.34212958886397	100.0	98.94515456670398	100.0	False	False	False	False	False	False
main	7062	PE	17494845	15265148.0	467462.0	724532.0		1037703	5.93	17494845.0	3533958690.0	PAIRED	Illumina HiSeq 2000	30530296	30162958	367338	1.203	OK	OK	15081479.0	15081479.0	yes	2921065287.0	24.4	96.4	97.3	30162958.0	15265148.0	15265148.0	15081479.0	15081479.0	100.0	87.25512000820814	100.0	98.79680825891764	100.0	False	False	False	False	False	False
main	7067	PE	25384421	23387857.0	736151.0	778242.0		482171	1.9	25384421.0	2589210942.0	PAIRED	Illumina Genome Analyzer II	46775714	43497702	3278012	7.008	OK	OK	21748851.0	21748851.0	yes	2210545241.0	18.47	50.8	50.9	43497702.0	23387857.0	23387857.0	21748851.0	21748851.0	100.0	92.1346876495627	100.0	92.99206421520364	100.0	False	False	False	False	False	False
main	7071	PE	12183076	10373698.0	1096881.0	270491.0		442006	3.63	12183076.0	2460981352.0	PAIRED	Illumina HiSeq 2000	20747396	20721878	25518	0.123	OK	OK	10360939.0	10360939.0	yes	1898482401.0	15.86	94.4	88.8	20721878.0	10373698.0	10373698.0	10360939.0	10360939.0	100.0	85.14843049489308	100.0	99.87700625177251	100.0	False	False	False	False	False	False
main	7077	PE	9909746	8699787.0	590798.0	322197.0		296964	3.0	9909746.0	2001768692.0	PAIRED	Illumina HiSeq 2000	17399574	17367578	31996	0.184	OK	OK	8683789.0	8683789.0	yes	1610548377.0	13.45	93.4	92.0	17367578.0	8699787.0	8699787.0	8683789.0	8683789.0	100.0	87.79021177737553	100.0	99.81611044040504	100.0	False	False	False	False	False	False
main	7103	PE	8917383	7522168.0	804692.0	257414.0		333109	3.74	8917383.0	1801311366.0	PAIRED	Illumina HiSeq 2000	15044336	15002970	41366	0.275	OK	OK	7501485.0	7501485.0	yes	1419822397.0	11.86	95.4	93.8	15002970.0	7522168.0	7522168.0	7501485.0	7501485.0	100.0	84.35398591716876	100.0	99.72503937694557	100.0	False	False	False	False	False	False
main	7106	PE	9607135	8007043.0	843987.0	334138.0		421967	4.39	9607135.0	1940641270.0	PAIRED	Illumina HiSeq 2000	16014086	15957086	57000	0.356	OK	OK	7978543.0	7978543.0	yes	1509137933.0	12.61	95.2	94.0	15957086.0	8007043.0	8007043.0	7978543.0	7978543.0	100.0	83.3447536648543	100.0	99.64406335772145	100.0	False	False	False	False	False	False
main	7125	PE	15636577	13687864.0	685026.0	373049.0		890638	5.7	15636577.0	3158588554.0	PAIRED	Illumina HiSeq 2000	27375728	27230654	145074	0.53	OK	OK	13615327.0	13615327.0	yes	2623461578.0	21.92	96.8	95.8	27230654.0	13687864.0	13687864.0	13615327.0	13615327.0	100.0	87.5374706369559	100.0	99.47006340799412	100.0	False	False	False	False	False	False
main	7126	PE	12184312	10329675.0	1123390.0	276742.0		454505	3.73	12184312.0	2461231024.0	PAIRED	Illumina HiSeq 2000	20659350	20638670	20680	0.1	OK	OK	10319335.0	10319335.0	yes	1887684625.0	15.77	94.2	88.7	20638670.0	10329675.0	10329675.0	10319335.0	10319335.0	100.0	84.7784840046775	100.0	99.89990004525797	100.0	False	False	False	False	False	False
main	7165	PE	11170964	9943240.0	626599.0	321516.0		279609	2.5	11170964.0	2256534728.0	PAIRED	Illumina HiSeq 2000	19886480	19826564	59916	0.301	OK	OK	9913282.0	9913282.0	yes	1841309718.0	15.38	93.3	92.5	19826564.0	9943240.0	9943240.0	9913282.0	9913282.0	100.0	89.00968618285762	100.0	99.69870987726335	100.0	False	False	False	False	False	False
