sample	n_records	n_called	n_missing	hom_ref	het	hom_alt	compound_het	median_gq	mean_gq	gq_ge30_pct	gq_ge100_pct	gq_max_n	SNP_hom_ref	SNP_het	SNP_hom_alt	SNP_compound_het	SNP_missing	small_indel_hom_ref	small_indel_het	small_indel_hom_alt	small_indel_compound_het	small_indel_missing	small_sv_hom_ref	small_sv_het	small_sv_hom_alt	small_sv_compound_het	small_sv_missing	medium_sv_hom_ref	medium_sv_het	medium_sv_hom_alt	medium_sv_compound_het	medium_sv_missing	large_sv_hom_ref	large_sv_het	large_sv_hom_alt	large_sv_compound_het	large_sv_missing
9737	5214599	5214490	109	4548789	40386	620656	4659	10000	7196.2	98.07	93.72	3731315	3394442	23325	370162	111	25	1123795	16144	227825	2735	36	18050	649	12981	780	20	10120	192	6701	618	14	2382	76	2987	415	14
9739	5214599	5214033	566	4588130	108214	507801	9888	10000	6878.0	95.88	89.09	3565511	3421397	62568	303670	219	211	1135116	43122	186189	5892	216	18800	1742	10189	1705	44	10332	579	5345	1334	55	2485	203	2408	738	40
7244	5214599	5214406	193	4616521	38526	554924	4435	10000	7031.5	97.95	93.18	3644402	3435869	21853	330207	100	36	1148392	15623	203909	2492	119	19254	702	11698	814	12	10500	265	6228	634	18	2506	83	2882	395	8
9820	5214599	5214310	289	4548025	63083	596829	6373	10000	7022.7	97.02	91.01	3641118	3394079	36415	357338	151	82	1122894	25157	218513	3840	131	18319	1039	11983	1113	26	10278	346	6198	793	30	2455	126	2797	476	20
7077	5214599	5214426	173	4589830	63667	554171	6758	10000	6843.0	96.44	89.36	3547008	3420307	35859	331695	163	41	1137878	26080	202601	3928	48	18806	1181	11250	1216	27	10375	412	5922	900	36	2464	135	2703	551	21
9978	5214599	5214544	55	4509995	166620	523977	13952	10000	5817.2	94.63	84.4	3006886	3370614	99432	317636	381	2	1109267	63503	189431	8313	21	17784	2527	9807	2352	10	9942	903	4913	1874	13	2388	255	2190	1032	9
9323	5214599	5214441	158	4552620	40874	616471	4476	10000	7275.0	97.87	93.49	3773221	3394942	23136	369847	95	45	1126667	16751	224346	2717	54	18425	664	12609	762	20	10170	245	6645	561	24	2416	78	3024	341	15
5768	5214599	5214475	124	4622119	57761	529523	5072	10000	7174.4	97.56	92.64	3720469	3439249	33815	314863	110	28	1150131	22455	194880	3035	34	19493	991	11125	850	21	10658	369	5931	659	28	2588	131	2724	418	13
9657	5214599	5214305	294	4598118	61166	548101	6920	10000	6920.6	96.84	90.35	3587449	3426931	34313	326605	160	56	1139585	25193	201431	4185	141	18808	1114	11434	1093	31	10340	404	5927	928	46	2454	142	2704	554	20
7165	5214599	5214441	158	4639317	37861	533201	4062	10000	7212.0	98.03	93.67	3739719	3447589	21534	318793	99	50	1158389	15307	194475	2299	65	19853	691	11204	715	17	10828	230	5968	601	18	2658	99	2761	348	8
9591	5214599	5214367	232	4575560	56321	576607	5879	10000	7073.8	97.13	91.33	3667935	3411703	32026	344169	124	43	1132476	22909	211570	3451	129	18619	964	11839	1042	16	10301	326	6209	786	23	2461	96	2820	476	21
6177	5214599	5214248	351	4551085	43022	615575	4566	10000	7257.8	97.75	93.38	3764061	3394640	24457	368793	81	94	1125581	17533	224510	2721	190	18345	712	12579	825	19	10125	232	6661	597	30	2394	88	3032	342	18
9774	5214599	5213853	746	4648445	37642	523482	4284	10000	7259.8	97.77	93.05	3764970	3456241	20780	310588	73	383	1159174	15811	192737	2532	281	19673	722	11285	773	27	10729	251	6041	584	40	2628	78	2831	322	15
7209	5214599	5214018	581	4621735	20466	569713	2104	10000	7608.1	98.72	95.87	3947598	3438979	11834	336906	33	313	1150431	8104	210536	1248	216	19193	373	12528	363	23	10598	120	6612	298	17	2534	35	3131	162	12
9547	5214599	5214318	281	4584846	52621	571051	5800	10000	7068.0	97.28	91.81	3664571	3417299	30251	340316	123	76	1135826	21092	210011	3481	125	18827	879	11773	976	25	10398	300	6138	771	38	2496	99	2813	449	17
9596	5214599	5214428	171	4580259	60109	567412	6648	10000	6960.5	96.89	90.8	3608346	3413996	34246	339584	184	55	1134715	24395	207302	4066	57	18771	987	11634	1073	15	10328	343	6115	840	19	2449	138	2777	485	25
9535	5214599	5214116	483	4532568	52326	623691	5531	10000	7105.2	97.19	91.55	3684202	3382823	29690	375273	110	169	1118779	21416	226780	3326	234	18256	861	12395	939	29	10248	261	6382	728	26	2462	98	2861	428	25
10014	5214599	5214588	11	4549800	110080	545069	9639	10000	5791.6	95.74	87.06	2991557	3394587	65683	327523	272	0	1124475	41600	199066	5394	0	18191	1863	10701	1722	3	10140	724	5394	1383	4	2407	210	2385	868	4
9598	5214599	5214260	339	4371610	83893	750101	8656	10000	6736.3	95.64	87.74	3491498	3281133	47635	459054	192	51	1061850	34338	268863	5304	180	16647	1316	13012	1478	27	9691	468	6358	1076	52	2289	136	2814	606	29
10013	5214599	5214595	4	4499988	244721	450974	18912	192	4653.1	91.67	76.24	2395319	3364199	147198	276146	522	0	1105741	92190	161388	11214	2	17681	3646	7999	3153	1	10011	1268	3851	2514	1	2356	419	1590	1509	0
9659	5214599	5214349	250	4602930	76350	527752	7317	10000	6966.4	96.47	89.97	3611990	3428508	44014	315339	160	44	1142466	30463	193239	4259	108	18991	1302	10856	1299	32	10483	426	5697	993	46	2482	145	2621	606	20
