panel	ecotype	n_pg_snp	n_truth_snp	n_overlap	n_no_truth_record	n_truth_missing	n_pg_missing	n_matched	n_concordant	n_nonref_either	n_nonref_disc	GC	nRD
main	7244	3901027	3235480	1655459	2245568	0	1	1655458	1636179	215452	19279	0.988354	0.089482
main	7268	3901027	3235480	1655459	2245568	0	0	1655459	1632893	213812	22566	0.986369	0.105541
main	7273	3901027	3235480	1655459	2245568	0	1	1655458	1648791	207485	6667	0.995973	0.032132
main	7276	3901027	3235480	1655459	2245568	0	2	1655457	1634886	185869	20571	0.987574	0.110675
main	7282	3901027	3235480	1655459	2245568	0	0	1655459	1636850	183935	18609	0.988759	0.101172
main	7287	3901027	3235480	1655459	2245568	0	16	1655443	1638548	206333	16895	0.989794	0.081882
main	7296	3901027	3235480	1655459	2245568	0	2	1655457	1631014	215169	24443	0.985235	0.113599
main	7333	3901027	3235480	1655459	2245568	0	7	1655452	1616040	238290	39412	0.976193	0.165395
main	7353	3901027	3235480	1655459	2245568	0	1	1655458	1631911	233176	23547	0.985776	0.100984
main	7384	3901027	3235480	1655459	2245568	0	0	1655459	1636585	218324	18874	0.988599	0.086449
main	7394	3901027	3235480	1655459	2245568	0	0	1655459	1628446	226600	27013	0.983682	0.11921
main	7404	3901027	3235480	1655459	2245568	0	3	1655456	1633434	211173	22022	0.986697	0.104284
main	7521	3901027	3235480	1655459	2245568	0	5	1655454	1632129	218605	23325	0.98591	0.106699
main	8240	3901027	3235480	1655459	2245568	0	3	1655456	1625331	225220	30125	0.981803	0.133758
main	8311	3901027	3235480	1655459	2245568	0	2	1655457	1624903	223623	30554	0.981543	0.136632
main	8312	3901027	3235480	1655459	2245568	0	2	1655457	1636770	195296	18687	0.988712	0.095686
main	8357	3901027	3235480	1655459	2245568	0	0	1655459	1636741	226640	18718	0.988693	0.082589
main	8376	3901027	3235480	1655459	2245568	0	1	1655458	1638331	244874	17127	0.989654	0.069942
main	9057	3901027	3235480	1655459	2245568	0	5	1655454	1627978	218652	27476	0.983403	0.125661
main	9058	3901027	3235480	1655459	2245568	0	4	1655455	1630924	232343	24531	0.985182	0.105581
main	9323	3901027	3235480	1655459	2245568	0	6	1655453	1634612	249705	20841	0.987411	0.083462
main	9371	3901027	3235480	1655459	2245568	0	4	1655455	1633205	250956	22250	0.98656	0.088661
main	9394	3901027	3235480	1655459	2245568	0	2	1655457	1630572	233718	24885	0.984968	0.106474
main	9427	3901027	3235480	1655459	2245568	0	2	1655457	1634957	252596	20500	0.987617	0.081157
main	9481	3901027	3235480	1655459	2245568	0	2	1655457	1630866	218523	24591	0.985145	0.112533
main	9507	3901027	3235480	1655459	2245568	0	3	1655456	1507635	303931	147821	0.910707	0.486364
main	9510	3901027	3235480	1655459	2245568	0	3	1655456	1613662	249604	41794	0.974754	0.167441
main	9512	3901027	3235480	1655459	2245568	0	14	1655445	1626244	241233	29201	0.982361	0.121049
main	9517	3901027	3235480	1655459	2245568	0	2	1655457	1623179	230126	32278	0.980502	0.140262
main	9521	3901027	3235480	1655459	2245568	0	5	1655454	1627663	237122	27791	0.983212	0.117201
main	9522	3901027	3235480	1655459	2245568	0	1	1655458	1617059	243229	38399	0.976805	0.157872
main	9523	3901027	3235480	1655459	2245568	0	1	1655458	1628557	229875	26901	0.98375	0.117024
main	9524	3901027	3235480	1655459	2245568	0	9	1655450	1626383	254339	29067	0.982442	0.114284
main	9526	3901027	3235480	1655459	2245568	0	0	1655459	1629863	232466	25596	0.984538	0.110106
main	9527	3901027	3235480	1655459	2245568	0	4	1655455	1605216	246375	50239	0.969652	0.203913
main	9528	3901027	3235480	1655459	2245568	0	6	1655453	1617021	289896	38432	0.976785	0.132572
main	9529	3901027	3235480	1655459	2245568	0	3	1655456	1627076	235335	28380	0.982857	0.120594
main	9534	3901027	3235480	1655459	2245568	0	4	1655455	1624342	242326	31113	0.981206	0.128393
main	9535	3901027	3235480	1655459	2245568	0	14	1655445	1621895	258961	33550	0.979734	0.129556
main	9539	3901027	3235480	1655459	2245568	0	5	1655454	1622779	233808	32675	0.980262	0.139751
main	9544	3901027	3235480	1655459	2245568	0	0	1655459	1630510	234292	24949	0.984929	0.106487
main	9547	3901027	3235480	1655459	2245568	0	10	1655449	1627401	234751	28048	0.983057	0.11948
main	9548	3901027	3235480	1655459	2245568	0	3	1655456	1626089	236776	29367	0.98226	0.124029
main	9560	3901027	3235480	1655459	2245568	0	0	1655459	1631356	234570	24103	0.98544	0.102754
main	9562	3901027	3235480	1655459	2245568	0	1	1655458	1626541	259137	28917	0.982532	0.11159
