panel	ecotype	reads_in	reads_out	dup_count	dup_pct	log
main	9719	18277828	17196340	1081488	5.917	prep_58045_111.err,prep_58045_111.out
main	9723	16348830	15647608	701222	4.289	prep_58045_112.err,prep_58045_112.out
main	9726	20957966	20122922	835044	3.984	prep_58045_113.err,prep_58045_113.out
main	9736	19086090	17943510	1142580	5.986	prep_58045_114.err,prep_58045_114.out
main	9737	18843154	18184892	658262	3.493	prep_58045_115.err,prep_58045_115.out
main	9739	30447962	27569998	2877964	9.452	prep_58045_116.err,prep_58045_116.out
main	9741	23181514	22114034	1067480	4.605	prep_58045_117.err,prep_58045_117.out
main	9743	19966044	19163316	802728	4.02	prep_58045_118.err,prep_58045_118.out
main	9748	19532482	19170540	361942	1.853	prep_58045_119.err,prep_58045_119.out
main	9749	20890764	20201160	689604	3.301	prep_58045_120.err,prep_58045_120.out
main	9761	26037464	25882112	155352	0.597	prep_58045_121.err,prep_58045_121.out
main	9766	16047090	15995950	51140	0.319	prep_58045_122.err,prep_58045_122.out
main	9769	45130110	42328654	2801456	6.208	prep_58045_123.err,prep_58045_123.out
main	9774	38825112	36561178	2263934	5.831	prep_58045_124.err,prep_58045_124.out
main	9775	44833412	42730088	2103324	4.691	prep_58045_125.err,prep_58045_125.out
main	9779	36064644	33832908	2231736	6.188	prep_58045_126.err,prep_58045_126.out
main	9781	34430710	32812474	1618236	4.7	prep_58045_127.err,prep_58045_127.out
main	9782	39413836	36882664	2531172	6.422	prep_58045_128.err,prep_58045_128.out
main	9784	39810896	37028170	2782726	6.99	prep_58045_129.err,prep_58045_129.out
main	9803	34132222	32413516	1718706	5.035	prep_58045_130.err,prep_58045_130.out
main	9804	36110056	33601572	2508484	6.947	prep_58045_131.err,prep_58045_131.out
main	9813	20182912	19290504	892408	4.422	prep_58045_132.err,prep_58045_132.out
main	9814	20043018	18807758	1235260	6.163	prep_58045_133.err,prep_58045_133.out
main	9820	22401144	21764246	636898	2.843	prep_58045_134.err,prep_58045_134.out
main	9857	14576956	13856352	720604	4.943	prep_58045_135.err,prep_58045_135.out
main	9920	39094386	35782450	3311936	8.472	prep_58045_136.err,prep_58045_136.out
main	9921	23805336	21713646	2091690	8.787	prep_58045_137.err,prep_58045_137.out
main	9925	25902876	24391722	1511154	5.834	prep_58045_138.err,prep_58045_138.out
main	9933	34763850	30427608	4336242	12.473	prep_58045_139.err,prep_58045_139.out
main	9941	17737927	15990479	1747448	9.851	prep_58751_140.err,prep_58751_140.out
main	9944	33283540	28649273	4634267	13.924	prep_58045_141.err,prep_58045_141.out
main	9965	65399952	57156905	8243047	12.604	prep_58751_142.err,prep_58751_142.out
main	9966	24792319	21357751	3434568	13.853	prep_58751_143.err,prep_58751_143.out
main	9977	3949958	3949046	912	0.023	prep_58800_151.err,prep_58800_151.out
main	9978	31161020	27689351	3471669	11.141	prep_58751_144.err,prep_58751_144.out
main	9985	17482653	15441738	2040915	11.674	prep_58751_145.err,prep_58751_145.out
main	10011	47955441	42944220	5011221	10.45	prep_58751_146.err,prep_58751_146.out
main	10013	17895079	15964730	1930349	10.787	prep_58751_147.err,prep_58751_147.out
main	10014	39836845	36298792	3538053	8.881	prep_58751_148.err,prep_58751_148.out
main	100001	13543370	12526802	1016568	7.506	prep_58045_149.err,prep_58045_149.out
main	100002	14858634	13498374	1360260	9.155	prep_58045_150.err,prep_58045_150.out
