panel	ecotype	gn_n_overlap	gn_n_concordant	gn_nonref_either	gn_nonref_disc	gn_GC	gn_nRD	cactus_n_matched	cactus_n_concordant	cactus_GC	cactus_nRD
loo	772	1655459	1644481	246806	10973	0.993372	0.04446	7272787.0	7159675.0	0.9844472277271423	0.057756291244646235
loo	8214	1655459	1648009	215050	7448	0.995501	0.034634	7299129.0	7238840.0	0.9917402473637608	0.033559030696251504
loo	8230	1655459	1638431	232600	17026	0.989715	0.073199	7237128.0	7068276.0	0.9766686453521342	0.08843521025700114
loo	8231	1655459	1590802	253202	64657	0.960943	0.255357	7316981.0	6990990.0	0.9554473354516022	0.16558188910786484
main	8240	1655459	1625331	225220	30125	0.981803	0.133758				
loo	8247	1655459	1643887	219978	11572	0.99301	0.052605	7364244.0	7271894.0	0.9874596767842021	0.05084537664944659
loo	8249	1655459	1642082	228893	13376	0.99192	0.058438	7338080.0	7216117.0	0.9833794398534766	0.06434870696363987
main	8311	1655459	1624903	223623	30554	0.981543	0.136632				
main	8312	1655459	1636770	195296	18687	0.988712	0.095686				
loo	8351	1655459	1640223	241583	15232	0.990799	0.063051	7393677.0	7265004.0	0.9825968865018042	0.06620585543102264
loo	8354	1655459	1644690	235016	10768	0.993495	0.045818	7337279.0	7247137.0	0.98771451923799	0.047051908890233266
main	8357	1655459	1636741	226640	18718	0.988693	0.082589				
main	8376	1655459	1638331	244874	17127	0.989654	0.069942				
loo	8387	1655459	1643522	194772	11937	0.992789	0.061287	7357188.0	7258794.0	0.9866261403133915	0.05898425791600225
main	9057	1655459	1627978	218652	27476	0.983403	0.125661				
main	9058	1655459	1630924	232343	24531	0.985182	0.105581				
main	9323	1655459	1634612	249705	20841	0.987411	0.083462				
main	9371	1655459	1633205	250956	22250	0.98656	0.088661				
main	9394	1655459	1630572	233718	24885	0.984968	0.106474				
loo	9416	1655459	1646090	236359	9367	0.994342	0.03963	7322269.0	7245305.0	0.9894890504569007	0.040412717582504136
main	9427	1655459	1634957	252596	20500	0.987617	0.081157				
loo	9470	1655459	1647626	220537	7832	0.995269	0.035513	7306111.0	7243823.0	0.991474534126295	0.03405478135406683
main	9481	1655459	1630866	218523	24591	0.985145	0.112533				
loo	9506	1655459	1646764	227773	8690	0.994751	0.038152	7301597.0	7239826.0	0.9915400699326462	0.03307687611981378
main	9507	1655459	1507635	303931	147821	0.910707	0.486364				
main	9510	1655459	1613662	249604	41794	0.974754	0.167441				
main	9512	1655459	1626244	241233	29201	0.982361	0.121049				
main	9517	1655459	1623179	230126	32278	0.980502	0.140262				
loo	9518	1655459	1643241	284890	12218	0.99262	0.042887	7306422.0	7229679.0	0.9894965004758828	0.036551247856734616
main	9521	1655459	1627663	237122	27791	0.983212	0.117201				
main	9522	1655459	1617059	243229	38399	0.976805	0.157872				
main	9523	1655459	1628557	229875	26901	0.98375	0.117024				
main	9524	1655459	1626383	254339	29067	0.982442	0.114284				
main	9526	1655459	1629863	232466	25596	0.984538	0.110106				
main	9527	1655459	1605216	246375	50239	0.969652	0.203913				
main	9528	1655459	1617021	289896	38432	0.976785	0.132572				
main	9529	1655459	1627076	235335	28380	0.982857	0.120594				
main	9534	1655459	1624342	242326	31113	0.981206	0.128393				
main	9535	1655459	1621895	258961	33550	0.979734	0.129556				
loo	9537	1655459	1646107	232370	9352	0.994351	0.040246	7334415.0	7270697.0	0.9913124632298554	0.0337852132559692
main	9539	1655459	1622779	233808	32675	0.980262	0.139751				
loo	9542	1655459	1640070	322424	15387	0.990705	0.047723	7237109.0	7168583.0	0.9905313019328574	0.030799558812028574
main	9544	1655459	1630510	234292	24949	0.984929	0.106487				
main	9547	1655459	1627401	234751	28048	0.983057	0.11948				
main	9548	1655459	1626089	236776	29367	0.98226	0.124029				
loo	9549	1655459	1639552	316738	15906	0.990392	0.050218	7308955.0	7235549.0	0.9899567037969176	0.03344756520261234
loo	9555	1655459	1625133	334640	30322	0.981684	0.090611	7231855.0	7124647.0	0.9851755877295659	0.047361640993742724
loo	9557	1655459	1644722	265107	10736	0.993515	0.040497	7326001.0	7251756.0	0.9898655487489013	0.037069879306324674
