panel	ecotype	run	source	layout	status	files
main	9697	SRR1946276	ENA	PE	OK	9697_1.dedup.fq.gz;9697_2.dedup.fq.gz
main	9698	SRR1946277	ENA	PE	OK	9698_1.dedup.fq.gz;9698_2.dedup.fq.gz
main	9699	SRR1946278	ENA	PE	OK	9699_1.dedup.fq.gz;9699_2.dedup.fq.gz
main	9713	SRR1946291	ENA	PE	OK	9713_1.dedup.fq.gz;9713_2.dedup.fq.gz
main	9716	SRR1946293	ENA	PE	OK	9716_1.dedup.fq.gz;9716_2.dedup.fq.gz
main	9719	SRR1946296	ENA	PE	OK	9719_1.dedup.fq.gz;9719_2.dedup.fq.gz
main	9723	SRR1946300	ENA	PE	OK	9723_1.dedup.fq.gz;9723_2.dedup.fq.gz
main	9726	SRR1946302	ENA	PE	OK	9726_1.dedup.fq.gz;9726_2.dedup.fq.gz
main	9736	SRR1946311	ENA	PE	OK	9736_1.dedup.fq.gz;9736_2.dedup.fq.gz
main	9737	SRR1946312	ENA	PE	OK	9737_1.dedup.fq.gz;9737_2.dedup.fq.gz
main	9739	SRR1946314	ENA	PE	OK	9739_1.dedup.fq.gz;9739_2.dedup.fq.gz
main	9741	SRR1946315	ENA	PE	OK	9741_1.dedup.fq.gz;9741_2.dedup.fq.gz
main	9743	SRR1946316	ENA	PE	OK	9743_1.dedup.fq.gz;9743_2.dedup.fq.gz
main	9748	SRR1946320	ENA	PE	OK	9748_1.dedup.fq.gz;9748_2.dedup.fq.gz
main	9749	SRR1946321	ENA	PE	OK	9749_1.dedup.fq.gz;9749_2.dedup.fq.gz
main	9761	SRR1946328	ENA	PE	OK	9761_1.dedup.fq.gz;9761_2.dedup.fq.gz
main	9766	SRR1946331	ENA	PE	OK	9766_1.dedup.fq.gz;9766_2.dedup.fq.gz
main	9769	SRR1946333	ENA	PE	OK	9769_1.dedup.fq.gz;9769_2.dedup.fq.gz
main	9774	SRR1946337	ENA	PE	OK	9774_1.dedup.fq.gz;9774_2.dedup.fq.gz
main	9775	SRR1946338	ENA	PE	OK	9775_1.dedup.fq.gz;9775_2.dedup.fq.gz
main	9779	SRR1946342	ENA	PE	OK	9779_1.dedup.fq.gz;9779_2.dedup.fq.gz
main	9781	SRR1946344	ENA	PE	OK	9781_1.dedup.fq.gz;9781_2.dedup.fq.gz
main	9782	SRR1946345	ENA	PE	OK	9782_1.dedup.fq.gz;9782_2.dedup.fq.gz
main	9784	SRR1946347	ENA	PE	OK	9784_1.dedup.fq.gz;9784_2.dedup.fq.gz
main	9803	SRR1946366	ENA	PE	OK	9803_1.dedup.fq.gz;9803_2.dedup.fq.gz
main	9804	SRR1946367	ENA	PE	OK	9804_1.dedup.fq.gz;9804_2.dedup.fq.gz
main	9813	SRR1946376	ENA	PE	OK	9813_1.dedup.fq.gz;9813_2.dedup.fq.gz
main	9814	SRR1946377	ENA	PE	OK	9814_1.dedup.fq.gz;9814_2.dedup.fq.gz
main	9820	SRR1946382	ENA	PE	OK	9820_1.dedup.fq.gz;9820_2.dedup.fq.gz
main	9857	SRR1946417	ENA	PE	OK	9857_1.dedup.fq.gz;9857_2.dedup.fq.gz
main	9920	SRR1946469	ENA	PE	OK	9920_1.dedup.fq.gz;9920_2.dedup.fq.gz
main	9921	SRR1946470	ENA	PE	OK	9921_1.dedup.fq.gz;9921_2.dedup.fq.gz
main	9925	SRR1946472	ENA	PE	OK	9925_1.dedup.fq.gz;9925_2.dedup.fq.gz
main	9933	SRR1946479	ENA	PE	OK	9933_1.dedup.fq.gz;9933_2.dedup.fq.gz
main	9941	SRR1946484	ENA	SE	OK	9941.dedup.fq.gz
main	9944	SRR1946487	ENA	SE	OK	9944.dedup.fq.gz
main	9965	SRR1946506	ENA	SE	OK	9965.dedup.fq.gz
main	9966	SRR1946507	ENA	SE	OK	9966.dedup.fq.gz
main	9978	SRR1946517	ENA	SE	OK	9978.dedup.fq.gz
main	9985	SRR1946524	ENA	SE	OK	9985.dedup.fq.gz
main	10011	SRR1946544	ENA	SE	OK	10011.dedup.fq.gz
main	10013	SRR1946546	ENA	SE	OK	10013.dedup.fq.gz
main	10014	SRR1946547	ENA	SE	OK	10014.dedup.fq.gz
main	100001	xwu_BAM	xwu_BAM	PE	OK	100001_1.dedup.fq.gz;100001_2.dedup.fq.gz
main	100002	xwu_BAM	xwu_BAM	PE	OK	100002_1.dedup.fq.gz;100002_2.dedup.fq.gz
main	9977	SRR095751	ENA	PE	OK	9977_1.dedup.fq.gz;9977_2.dedup.fq.gz
