gene,SNPs,hits,Z,top_candidate_p,Z_pVal
5_1895,74,4,0.5268831572145067,0.006602463963164749,0.27238029383043383
5_19,2,0,0.5119991394522662,1.0,0.40675445276228306
5_1902,8,1,-0.09690016436755204,0.07725530557207996,0.5379358352845544
5_1903,29,4,-1.8168881509262724,0.0001944605220856772,0.8225103864201546
5_1905,1,0,-0.7209031900793723,1.0,0.710106210651178
5_1907,1,1,2.8709106003564235,0.010000000000000009,0.04237419128179831
5_1909,1,1,2.5010429900556526,0.010000000000000009,0.0682104342596006
5_1914,38,8,-1.938586721468865,3.742852552693407e-09,0.8182970054300189
5_1919,2,0,0.7266839889765428,1.0,0.35512799247031657
5_192,10,0,0.014787529448738965,1.0,0.5038991559076125
5_1920,4,0,0.33470071957125436,1.0,0.44427495974468323
5_1922,5,3,-2.1906131700631564,9.850600000000027e-06,0.9235323518151954
5_1925,15,0,-0.7306446178065666,1.0,0.6625650028271333
5_1931,54,7,0.1984683300715013,1.173341381551815e-06,0.3582454930173403
5_1936,1,0,-2.641154628351528,1.0,0.9617424042150565
5_1941,8,3,-1.5136714558035766,5.3933321197900146e-05,0.834088724707866
5_1944,1,0,1.364888904831394,1.0,0.22099163467078087
5_1946,23,1,1.4165783256759819,0.20638571635634465,0.18152565549232902
5_1947,33,1,0.48412760375434266,0.2822694674017251,0.3375515895246921
5_1952,5,0,0.5384934864696844,1.0,0.39150722473515454
5_1954,1,0,1.2623706311350282,1.0,0.24076482432575397
5_1955,3,1,0.09529294625555408,0.029701000000000026,0.5074132719875013
5_1956,75,10,-3.4545476161758724,4.585293562773729e-09,0.9188807834295469
5_1957,16,3,2.7409517249684523,0.0005079424092904579,0.04706642490921853
5_1958,10,1,-0.6130836517288052,0.09561792499119559,0.6535194649877112
5_1959,38,2,-0.0807925945695255,0.0554547523593632,0.44868015418365037
5_1963,6,0,0.3463014661310276,1.0,0.4351876149729462
5_1965,15,1,0.7867499295339813,0.1399416453587116,0.3103924454488822
5_1966,1,0,1.0692160681768097,1.0,0.28049540609808676
5_1972,6,0,0.7912286499450654,1.0,0.3299462163948208
5_1977,107,10,-0.7367998785985823,1.453872989640569e-07,0.46522413648749184
5_1980,1,1,2.8581884443326637,0.010000000000000009,0.04310768479147109
5_1981,2,0,-0.0006174364346714222,1.0,0.5350235677852109
5_1983,38,6,2.9615252701234893,2.097600851352178e-06,0.03372652360581685
5_1986,1,0,-1.264109297386124,1.0,0.8154411053234778
5_1989,23,2,-3.061545214475295,0.02201068076236393,0.9568798050589692
5_199,3,0,0.6763207733921038,1.0,0.36427491616214835
5_1990,1,0,-0.13024564833000984,1.0,0.5710999702041422
5_1991,78,6,0.5860132071596259,0.00013877139679055036,0.25901444127315276
5_1993,141,22,3.032732810040866,9.664616884517714e-20,0.03525591379668891
5_1997,29,1,-1.9129676983842634,0.2528279056684038,0.8365055229565485
5_1998,1,0,0.2584795364594218,1.0,0.47316957980458374
5_2001,7,4,3.6204576229699,3.4166980000000114e-07,0.013869755127562278
5_2002,6,1,-1.6948469392644536,0.058519850599000056,0.8658599899847716
5_2004,1,1,2.851905675817676,0.010000000000000009,0.04347368142476771
5_2005,24,4,-0.6872825526622274,9.053764174621837e-05,0.6238100384110773
5_2006,1,1,3.6350057275150283,0.010000000000000009,0.0136128254026463
5_2008,1,0,-1.0897468781704434,1.0,0.7845254806927313
5_2009,5,2,1.2408512456745504,0.0009801496000000018,0.23758455679691737
5_2010,2,0,-3.0602251061687205,1.0,0.9783380995806373
5_2011,3,0,-0.42277363296664877,1.0,0.6348027183012188
5_2012,1,0,-0.2911763359639506,1.0,0.6107280275197358
5_2015,3,1,0.2727070773901262,0.029701000000000026,0.4629268933962021
5_2020,103,10,-0.07940218148236622,1.0121643995003672e-07,0.3498732332820008
5_2023,1,0,-0.7074330570494209,1.0,0.7071761923802038
5_2024,27,3,1.1622987162862886,0.002444106570594271,0.21809409481876196
5_2025,19,3,2.011540627123034,0.0008594328820314674,0.10639549072048271
5_2026,11,1,0.45607259633479774,0.10466174574128365,0.39436117283075656
5_2027,1,0,-2.8049012332542187,1.0,0.9696105828859485
5_2031,7,0,-0.8170611454033728,1.0,0.7089733370114164
5_2032,18,2,-0.2790908440464138,0.013756463740805566,0.5489802521241491
5_2037,10,1,-0.8347462820581512,0.09561792499119559,0.7022153984795327
5_204,1,0,-1.1346079993195093,1.0,0.7927539039055469
5_2040,17,5,-0.8451182566072768,5.597537924533881e-07,0.6807351634960903
5_2041,3,0,-0.5259503686301263,1.0,0.658924420490928
5_2042,1,0,-1.5202487074074087,1.0,0.8555500608728875
5_2046,27,1,-0.129927470290842,0.23765728565289646,0.48760203053440054
5_2047,29,1,0.46429998822585944,0.2528279056684038,0.3496904893338483
5_2048,13,0,-0.882073915585327,1.0,0.7019440878889038
5_2061,1,1,2.526919543792167,0.010000000000000009,0.066077213414661
5_2063,30,2,-1.4563181699453687,0.036147998312240706,0.7607245531143656
5_2070,18,1,0.312637524485955,0.16548623854991254,0.4091508944713499
5_2071,27,1,-0.09434126919277636,0.23765728565289646,0.47939620725918064
5_2072,1,0,-1.698123791924863,1.0,0.8796670054173452
5_2073,15,0,0.2453230450148373,1.0,0.43308117170366756
5_2077,1,0,0.16483105500335377,1.0,0.4968385198118809
5_208,34,1,-2.3425829908941944,0.2894467727277079,0.8799204977576507
5_2081,11,1,-1.9328245960380244,0.10466174574128365,0.8833409119124578
5_2088,1,0,-1.16060129146195,1.0,0.7974353475378273
5_2090,21,2,1.176130131591256,0.01851167488332298,0.22386553584838276
5_2091,8,1,-2.0874157262969883,0.07725530557207996,0.9073947801082421
5_2092,1,0,-2.2743891371077614,1.0,0.9380633993727135
5_2094,4,2,2.878884241974216,0.000592030000000001,0.04135298483756367
5_2096,31,3,-2.5396753600558326,0.003646012208816228,0.9063009207831534
5_2097,9,3,-0.43102625120374516,8.029476538112821e-05,0.6149936119541641
5_2098,18,1,-1.7186578348785075,0.16548623854991254,0.8368071777419697
5_2099,34,1,-2.520081622106437,0.2894467727277079,0.8988443298346869
5_2100,64,3,0.6479715898613079,0.02651229078139653,0.26200060890581267
5_2102,45,2,-4.787336292740445,0.07463929299800556,0.9919344577103273
5_2103,1,0,-0.002832594003387841,1.0,0.5391871750828714
5_2107,28,3,-1.2498847559662538,0.002717121867743372,0.728373986462105
5_2110,36,5,2.888464569509336,2.9112762779191584e-05,0.03703435911065023
5_2111,4,1,1.7654698218222307,0.039403990000000035,0.14983306721624245
5_2114,23,6,-0.12743026895827517,8.722288482649804e-08,0.4982259434550521
5_2117,1,0,-0.0010237071661626962,1.0,0.5387317857312091
5_2118,109,10,-3.671371643158287,1.7323924973080363e-07,0.8985908850110542
5_2120,80,9,0.260318184399958,1.2230899861242926e-07,0.3122441488605223
5_2126,157,28,5.502237332167935,2.2144113156535532e-26,0.0023032312488823203
5_2127,1,0,1.8103616007251044,1.0,0.14655800803722419
5_2128,1,0,0.48573142503249606,1.0,0.41628802597386694
5_2129,1,0,-1.2497973072632036,1.0,0.8130125045944717
5_2131,306,36,1.5497780930412035,6.906226238846133e-27,0.19597798012245704
5_2134,163,24,3.6160455542820977,8.802832406488044e-21,0.02177839260136072
5_2135,175,25,0.6141563995284057,2.983214082072197e-21,0.2263303094704585
5_214,1,0,0.7127842712394148,1.0,0.36115739808062297
5_2141,1,0,1.0756462826019417,1.0,0.2791233726282394
5_2145,1,0,0.18851305827909434,1.0,0.4908487290232828
5_2146,1,0,-2.1947647123280123,1.0,0.9316548961079274
5_2149,93,16,2.1954766181853236,1.8403225319838608e-15,0.07246797221001522
5_2150,15,0,-1.3356788450524633,1.0,0.7834797980330076
5_2151,8,4,3.4263963930524937,6.778784035000024e-07,0.018703600130997255
5_2154,1,0,1.67062937801018,1.0,0.16784651022389474
5_2155,1,0,1.0460657000598772,1.0,0.28546192147028726
5_2156,1,0,0.39909012261371074,1.0,0.43783444220462764
5_2162,1,0,1.4049496533490033,1.0,0.2135249838500688
5_2163,7,0,-0.1785915599836485,1.0,0.5614023758559784
5_2164,2,0,-0.4920752801419478,1.0,0.6548119228499698
5_2169,20,3,-0.2775357352977559,0.0010035761681001195,0.5423795997765415
5_217,1,0,1.1084950401013118,1.0,0.2721656924524839
5_2170,2,0,-2.1303077322203174,1.0,0.924095565079014
