,gene,SNPs,hits,Z,top_candidate_p
65,1_1148,8,0,-0.3368761025051589,1.0
66,1_1149,6,0,2.4211886796659874,1.0
67,1_115,1,0,0.720887263032867,1.0
68,1_1151,29,1,2.540098735659011,0.2528279056684038
70,1_1155,1,0,1.129384235787473,1.0
71,1_1156,4,0,2.1977710319580823,1.0
73,1_1158,1,0,-0.9076315490829255,1.0
74,1_1159,1,0,-1.5021193051202228,1.0
75,1_1160,2,0,-0.13158957043365827,1.0
76,1_1161,1,0,1.0768765962420828,1.0
77,1_1162,1,0,1.521428625161022,1.0
79,1_1164,1,0,-0.8856940786386925,1.0
80,1_1168,1,0,0.9513391482168474,1.0
81,1_117,2,0,1.4861084226770944,1.0
82,1_1171,3,0,-0.5550626773515798,1.0
83,1_1172,1,0,1.032055198327181,1.0
84,1_1175,1,0,1.1284684355531875,1.0
85,1_1177,5,0,-1.465968820560289,1.0
86,1_1178,2,0,0.5614423526835669,1.0
87,1_1179,1,0,0.32889665859515843,1.0
88,1_1180,7,1,2.2251450603206457,0.06793465209301006
89,1_1182,10,0,0.562200785091983,1.0
90,1_1185,12,1,2.374203591403984,0.11361512828387083
91,1_119,4,1,2.5540103024433995,0.039403990000000035
92,1_1192,1,0,1.3063271148581692,1.0
93,1_1194,15,2,0.9587554350224078,0.009629773443364747
94,1_1196,1,0,-0.886330608123172,1.0
95,1_1197,1,0,-1.2018630304202038,1.0
96,1_1199,7,0,1.4228419829353605,1.0
97,1_1202,37,1,1.7873434925423795,0.31055091413092223
98,1_1203,3,0,-0.18685742765879285,1.0
99,1_1207,1,0,1.2277720251171709,1.0
101,1_121,2,0,1.576620872622225,1.0
102,1_1212,9,1,1.8158090869269463,0.08648275251635919
103,1_1213,3,0,0.02260188435434431,1.0
104,1_1214,2,0,1.6068540346639566,1.0
105,1_1215,4,0,0.7444044451881304,1.0
106,1_1216,3,0,0.5933143376038394,1.0
107,1_1217,1,1,3.4321802067895937,0.010000000000000009
108,1_1218,11,1,3.144213840103692,0.10466174574128365
109,1_1219,5,3,4.354956423988516,9.850600000000027e-06
110,1_1220,1,0,0.8589767924172935,1.0
111,1_1222,1,0,0.10354411364220165,1.0
112,1_1228,13,1,2.936939002596378,0.12247897700103212
113,1_1232,1,0,-0.3289591033361065,1.0
114,1_1234,1,0,-0.36744487981134144,1.0
115,1_1235,2,0,-0.1759823785480102,1.0
116,1_1236,2,0,1.7240971187985124,1.0
117,1_1239,1,0,1.0366575975416377,1.0
118,1_1246,1,0,1.4702282278704042,1.0
119,1_125,10,0,2.390712605051884,1.0
120,1_1260,3,0,1.176666555201951,1.0
121,1_1261,2,0,-1.344913539240502,1.0
122,1_1263,1,0,0.337096706653173,1.0
123,1_1265,11,0,1.2945970073502258,1.0
124,1_1266,2,0,-1.2214409987556072,1.0
125,1_1267,9,1,2.900824869209768,0.08648275251635919
126,1_1268,5,0,1.552519396009053,1.0
127,1_1276,3,0,1.7783762305865107,1.0
128,1_1279,20,1,2.620876417277155,0.1820930624027693
129,1_128,1,0,0.9864163604198442,1.0
130,1_1282,8,0,1.6808048873650356,1.0
131,1_1283,1,0,0.3917608020930601,1.0
132,1_1284,2,0,-0.8349888299625775,1.0
133,1_1285,3,0,1.5525904336499632,1.0
134,1_1286,10,2,4.261338045563775,0.004266200242831427
135,1_1289,2,0,1.0002839856535288,1.0
136,1_129,2,0,0.8170582761390186,1.0
137,1_1294,1,0,0.6762016265612868,1.0
138,1_1296,1,0,-0.4829010446851062,1.0
140,1_13,1,0,1.247309542086247,1.0
141,1_1300,3,0,0.23927529459865757,1.0
143,1_1309,2,0,1.9889470052094513,1.0
144,1_131,1,0,2.057605939951428,1.0
145,1_1316,10,0,-0.013928745382251891,1.0
146,1_1317,2,0,-0.5957779510846771,1.0
147,1_1329,13,4,0.3959186073486316,6.652021264699332e-06
148,1_1330,1,0,1.2220257221686623,1.0
149,1_1333,1,0,1.5239732243024233,1.0
150,1_1336,14,1,2.517634566414233,0.13125418723102178
151,1_1337,8,1,3.714076209654798,0.07725530557207996
152,1_1342,15,1,2.61209409657273,0.1399416453587116
153,1_1348,5,1,0.8157563701334082,0.049009950100000046
154,1_1349,3,0,1.1867776198898572,1.0
156,1_1356,2,0,0.5569349843019938,1.0
157,1_1357,39,1,1.3625951332198825,0.3242709509397169
158,1_1360,2,0,-0.3902141301904633,1.0
159,1_1361,6,2,2.24977438592725,0.0014604476050000025
160,1_1362,2,0,0.5842474065035094,1.0
161,1_1363,10,1,1.5090629679790972,0.09561792499119559
162,1_1365,3,0,0.3887501371640789,1.0
163,1_1367,3,0,-0.04383812271670259,1.0
164,1_1369,1,0,1.5040149865143608,1.0
165,1_137,6,2,2.7921402555538117,0.0014604476050000025
166,1_1370,1,0,0.3000822737304335,1.0
167,1_1371,3,0,1.3398060573974344,1.0
168,1_1372,4,0,0.8929257416641083,1.0
169,1_1376,14,1,0.6687452429109996,0.13125418723102178
170,1_1377,4,0,1.7075109433859854,1.0
171,1_138,1,0,2.2049323789576434,1.0
172,1_1380,1,0,0.12089591221845337,1.0
173,1_1381,1,0,-1.321602591472995,1.0
174,1_1383,16,2,2.8655748831630947,0.010932892162518214
175,1_1387,13,0,0.5580078735806825,1.0
176,1_1388,5,0,1.3642211676530844,1.0
178,1_1396,3,0,-0.09049690425134475,1.0
179,1_14,14,2,0.7537476511582887,0.008401244011166185
180,1_1400,1,0,-0.3138057196737644,1.0
181,1_1401,2,0,-0.37926165774588544,1.0
182,1_1405,10,1,0.3681913095484225,0.09561792499119559
183,1_1408,1,0,-0.5347902584536709,1.0
184,1_141,2,2,3.00365856680917,0.00010000000000000018
185,1_1415,18,1,1.8339878110013188,0.16548623854991254
186,1_1416,14,0,1.0131224499094773,1.0
187,1_1418,2,0,0.5603185236118273,1.0
188,1_1424,3,0,0.3450020576320232,1.0
189,1_1425,15,2,0.7898928573162471,0.009629773443364747
190,1_1427,11,1,2.8236564601072374,0.10466174574128365
191,1_1428,5,1,0.48709854481194204,0.049009950100000046
192,1_1429,5,0,-0.7352789018167396,1.0
193,1_143,11,0,3.192685193033211,1.0
194,1_1430,3,0,1.988334710854441,1.0
196,1_1444,30,1,1.323692793974293,0.2602996266117198
197,1_1447,2,0,-0.5277266067037951,1.0
198,1_1448,1,0,-0.9164158980560978,1.0
199,1_145,4,0,-0.3766404409438244,1.0
202,1_1456,1,0,1.06072283342158,1.0
204,1_1465,2,0,-1.4336012114799448,1.0
205,1_1468,1,0,0.29473895834757496,1.0
206,1_1469,1,0,0.645725813685693,1.0
207,1_147,1,0,1.0653491471160035,1.0
208,1_1472,1,0,1.609627046717586,1.0
209,1_1474,1,0,1.9484064889708446,1.0
210,1_1478,1,0,1.7265656246747534,1.0
211,1_1479,3,0,0.1270179600532201,1.0
212,1_1487,8,0,-0.46631483767223725,1.0
214,1_1494,5,0,1.762041511656813,1.0
215,1_1495,24,0,-1.08614614659139,1.0
216,1_1496,1,0,-0.09867540186163389,1.0
219,1_15,1,0,0.5757835999584199,1.0
220,1_1500,5,0,-0.7788455817715592,1.0
221,1_1503,6,1,2.3660547423702005,0.058519850599000056
222,1_1504,2,0,-0.15491240646618443,1.0
223,1_1505,1,0,-0.39030314227376284,1.0
227,1_1518,2,0,-0.8181745035047552,1.0
228,1_1520,2,0,2.06249705238758,1.0
229,1_1521,1,0,2.2760064428383378,1.0
